Domain,Condition,Paradigm_Shifts,Avg_Significance,Breakthrough_Alignment,Filtering_Effectiveness,Execution_Time
natural_language_processing,No_Filtering,7,0.7428571428571429,100.0,0.8714285714285714,0.0683290958404541
natural_language_processing,Pattern_Only,12,0.40833333333333344,58.333333333333336,0.4958333333333334,0.04932522773742676
natural_language_processing,Breakthrough_Only,12,0.5833333333333334,58.333333333333336,0.5833333333333334,0.08229875564575195
natural_language_processing,Full_Filtering,7,0.7428571428571429,100.0,0.8714285714285714,0.05789780616760254
deep_learning,No_Filtering,9,0.6666666666666666,77.77777777777779,0.7222222222222223,0.04453086853027344
deep_learning,Pattern_Only,9,0.41111111111111115,77.77777777777779,0.5944444444444446,0.07005810737609863
deep_learning,Breakthrough_Only,9,0.6444444444444444,77.77777777777779,0.7111111111111111,0.05274081230163574
deep_learning,Full_Filtering,9,0.6666666666666666,77.77777777777779,0.7222222222222223,0.0784308910369873
computer_vision,No_Filtering,7,0.6142857142857144,71.42857142857143,0.6642857142857144,0.045127153396606445
computer_vision,Pattern_Only,7,0.39999999999999997,71.42857142857143,0.5571428571428572,0.07222819328308105
computer_vision,Breakthrough_Only,7,0.6142857142857144,71.42857142857143,0.6642857142857144,0.05795001983642578
computer_vision,Full_Filtering,7,0.6142857142857144,71.42857142857143,0.6642857142857144,0.05725598335266113
machine_learning,No_Filtering,19,0.6473684210526315,68.42105263157895,0.6657894736842105,0.07088518142700195
machine_learning,Pattern_Only,19,0.4105263157894738,68.42105263157895,0.5473684210526316,0.05898594856262207
machine_learning,Breakthrough_Only,19,0.6157894736842104,68.42105263157895,0.6499999999999999,0.09283089637756348
machine_learning,Full_Filtering,19,0.6473684210526315,68.42105263157895,0.6657894736842105,0.0689840316772461
machine_translation,No_Filtering,3,0.6999999999999998,100.0,0.8499999999999999,0.02751922607421875
machine_translation,Pattern_Only,3,0.4000000000000001,100.0,0.7000000000000001,0.02800583839416504
machine_translation,Breakthrough_Only,3,0.6999999999999998,100.0,0.8499999999999999,0.03626394271850586
machine_translation,Full_Filtering,3,0.6999999999999998,100.0,0.8499999999999999,0.036253929138183594
